Address,Weekly Rent,Bedrooms,Bathrooms,Parking,Property Type,Listing Agent,Agency,URL,Scraped At
"421B Glenfield Rd, Glenfield, North Shore City, Auckland",770,3,2,1,Unit,Seren Ball,The Rental Bureau,https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/glenfield/listing/5446493852?rsqid=b780272893c14305811258275a7c6ef9-001,2025-07-29T22:40:06.263360
"83 Freeland Avenue, Mount Roskill, Auckland City, Auckland",710,3,2,1,Other,myRent.co.nz,myRent.co.nz Ltd,https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/mount-roskill/listing/5446064713?rsqid=c1d79a28047845718e5c7a090f5ce07c-001,2025-07-29T22:40:07.393892
"402/8 Church Street, Wellington Central, Wellington, Wellington",585,2,1,0,Apartment,myRent.co.nz,myRent.co.nz Ltd,https://www.trademe.co.nz/a/property/residential/rent/wellington/wellington/wellington-central/listing/5445387647?rsqid=335b4f2b4dd54535b180f2299306b72c-001,2025-07-29T22:40:09.916750
"2/90 Ranfurly Road, Epsom, Auckland City, Auckland",650,3,1,2,Other,Iron Bridge Auckland,"Iron Bridge Property Management - Auckland, (Licensed: REAA 2008)",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/epsom/listing/5446397849?rsqid=feb3a9e86a0b430eb982084b1e32f212-001,2025-07-29T22:40:13.835966
"2A Winsomere Crescent, Westmere, Auckland City, Auckland",1600,3,2,1,House,Gina Thornton,Wendell Property Management Ltd,https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/westmere/listing/5445517611?rsqid=335b4f2b4dd54535b180f2299306b72c-001,2025-07-29T22:40:14.224782
"17 Manning Place, Woolston, Christchurch City, Canterbury",620,3,1,2,Other,Quinovic Merivale,Quinovic Merivale,https://www.trademe.co.nz/a/property/residential/rent/canterbury/christchurch-city/woolston/listing/5446434980?rsqid=e8d38e2b61a742b19f2b909c4223cf53-001,2025-07-29T22:40:16.969670
"230/8 Upper Queen Street, City Centre, Auckland City, Auckland",420,0,1,0,Studio,Phil Horrobin,MTM Property Management Ltd,https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/city-centre/listing/5445641422?rsqid=c1d79a28047845718e5c7a090f5ce07c-001,2025-07-29T22:40:20.895392
"2/4 Brighton Road, Parnell, Auckland City, Auckland",750,2,1,0,Apartment,Mercedes Regis-Brannigan,Propertyscouts Auckland Bays,https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/parnell/listing/5431811704?rsqid=335b4f2b4dd54535b180f2299306b72c-001,2025-07-29T22:40:21.081692
"3 Windfola Pkwy, Takanini, Papakura, Auckland",800,4,2,0,Other,Sandeep Mohandas,Wolfbrook Property Management,https://www.trademe.co.nz/a/property/residential/rent/auckland/papakura/takanini/listing/5445360498?rsqid=335b4f2b4dd54535b180f2299306b72c-001,2025-07-29T22:40:23.419504
"48A Anglesea Street, Freemans Bay, Auckland City, Auckland",1500,3,3,2,House,Sue Christie,Goodwins,https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/freemans-bay/listing/5446421630?rsqid=feb3a9e86a0b430eb982084b1e32f212-001,2025-07-29T22:40:31.485982
